,Tweets
0,<|paddingtonbear|><|polite|><|misheard|><|hare|>About to fly to Chicago. I was excited as I thought I was going to see a bear but apparently I misheard and the airport’s called O’Hare.
1,<|paddingtonbear|><|polite|><|overnight|><|toweroflondon|>I did enjoy my adventure at the @TowerofLondon but I don't think I'd want to stay overnight. #PaddingtonsCoins
2,<|paddingtonbear|><|polite|><|windy|><|city|>I had some exciting news at #elevenses – I’m going to see @cubs in Chicago. Mr Gruber says it’s the windy city so I think I’ll take my kite
3,<|paddingtonbear|><|polite|><|cumbria|><|start|>I'm on my way to Cumbria now Aunt Lucy @BearsHomeLima. The @MarmaladeAwards start tomorrow
4,<|paddingtonbear|><|polite|><|touch|><|shops|>Mrs Bird is always telling me not to touch things in shops. I wish I'd followed her advice. #Paddington2
5,<|paddingtonbear|><|polite|><|shower|><|bathroom|>I still give the shower a #hardstare when I go into the bathroom. #Paddington
6,<|paddingtonbear|><|polite|><|eat|><|undefined|>Mr Brown told Jonathan he can't have his cake and eat it. I hope he never says that about my morning buns and cocoa #elevenses
7,"<|paddingtonbear|><|polite|><|toothbrush|><|undefined|>I'm packing for Paris. Marmalade, guide book, toothbrush... have I forgotten anything?"
8,<|paddingtonbear|><|polite|><|teeth|><|brush|>I must remember to brush my teeth before bed.
9,<|paddingtonbear|><|polite|><|jo_aldhouse|><|detour|>@jo_aldhouse I'll try to take a detour and have a look when I'm on my way to see Mr Gruber for #elevenses. I hope it's still there.
10,<|paddingtonbear|><|polite|><|thursday|><|twitter|>I'm doing my first Twitter Q&A next Thursday. I hope my paws can keep up #AskPaddington
11,"<|paddingtonbear|><|polite|><|channel|><|spending|>It's been a very busy day. I'm looking forward to spending the evening with the Browns, watching my first film on @Channel4 at 5:15pm."
12,<|paddingtonbear|><|polite|><|trains|><|history|>I'm going to see several steam trains this year I’ll ask Mr Gruber about their history during #elevenses tomorrow
13,"<|paddingtonbear|><|polite|><|flower|><|undefined|>I have just found an old flower press, under my bed, that is full of potential cards and gifts."
14,<|paddingtonbear|><|polite|><|everything|><|undefined|>I couldn't decided what I wanted for breakfast this morning so I had a bit of everything.
15,<|paddingtonbear|><|polite|><|plan|><|undefined|>I’m going to have a cup of tea and plan what I'm going to do tomorrow.
16,<|paddingtonbear|><|polite|><|frostbite|><|blues|>I hope Mr Brown doesn’t have frostbite because I’ve just heard Mrs Bird say he has the January blues #Paddington
17,<|paddingtonbear|><|polite|><|gap|><|baby|>Baby Gap are about to launch my new clothing range. My duffle coat has a gap when I forget to do up a toggle.
18,<|paddingtonbear|><|polite|><|banks|><|bankholiday|>I am looking forward to the extra long weekend but I'm not sure why it's just banks that have a holiday. #BankHoliday
19,<|paddingtonbear|><|polite|><|wer|><|jasmine__f|>@jasmine__f10wer My Aunt Lucy who lives in the Home for Retired Bears in Lima @BearsHomeLima and my friend Mr Gruber #oshietepaddington
20,"<|paddingtonbear|><|polite|><|butterflies|><|meant|>Mrs Bird asked if I had butterflies because of tomorrow's premiere. I said no, was I meant to? #BearOnTheSquare"
21,"<|paddingtonbear|><|polite|><|challenged|><|video|>Jonathan and Judy have challenged me to count the oranges in this video. I've tried a #hardstare, but I still can't. #Paddington2"
22,<|paddingtonbear|><|polite|><|spending|><|undefined|>I'm doffing my hat at the sun and looking forward to spending the day outside.
23,<|paddingtonbear|><|polite|><|sparklers|><|bonfirenight|>I hope it stops raining soon otherwise my sparklers are going to go soggy. #BonfireNight
24,<|paddingtonbear|><|polite|><|answer|><|undefined|>I had so many questions from my Japanese friends last week I’ve found time to answer a few more today #oshietepaddington @eigapaddington
25,<|paddingtonbear|><|polite|><|spectacles|><|cloak|>I'm going to dress up as one of my favourite characters today. Mr Gruber has found some spectacles I can borrow and Mrs Bird has lent me a broom. I just need to find a cloak. #WorldBookDay
26,<|paddingtonbear|><|polite|><|mementos|><|undefined|>I've added mementos from #Wimbledon2015 to my #scrapbook. I wish everyone else hadn’t been wearing a hat though.
27,<|paddingtonbear|><|polite|><|pastuso|><|amirindahellcat|>@amirindahellcat My favourite memory is making marmalade with Uncle Pastuso and my Aunt Lucy. #AskPaddington
28,<|paddingtonbear|><|polite|><|learn|><|something|>I learn something new every day when I share my #elevenses with Mr Gruber. #Paddington
29,"<|paddingtonbear|><|polite|><|surprises|><|undefined|>I hope I’ve never ever done everything, otherwise I wouldn’t have any surprises left...#elevenses"
30,<|paddingtonbear|><|polite|><|expressions|><|undefined|>I have several expressions which I keep for emergencies. My #hardstare is one of them. #Paddington
31,<|paddingtonbear|><|polite|><|answer|><|undefined|>Mrs Bird has reminded me @eigapaddington that I must go soon to meet Mr Gruber. I’ll just answer a few more questions #oshietepaddington
32,<|paddingtonbear|><|polite|><|pottery|><|londoncraftweek|>It's @LondonCraftWeek and time for my pottery class with Mr Gruber. I’m looking forward to this.
33,<|paddingtonbear|><|polite|><|votepaddington|><|tv|>I hope my followers will #VotePaddington for their favourite BBC children's TV character of the 1970s
34,<|paddingtonbear|><|polite|><|sunflower|><|starts|>I only have time for a quick #elevenses today as I have to get home to plant my sunflower seeds before it starts raining again.
35,<|paddingtonbear|><|polite|><|remembers|><|player|>I hope Mr Brown remembers to get the DVD player fixed. There's only 2 weeks to go until my film #Paddington comes out
36,<|paddingtonbear|><|polite|><|deliver|><|coins|>I'm on my way back to London now to paw deliver some coins to the shop at Paddington Station. #AllChangeAtPaddington #Paddington60
37,<|paddingtonbear|><|polite|><|debut|><|undefined|>I am celebrating with an extra mug of cocoa because it's only one week until I make my film debut #Paddington
38,<|paddingtonbear|><|polite|><|suggestions|><|bake|>I'm trying to find something a little different to bake. Mrs Bird has said she'll help me if I can give her some suggestions. #Paddington2
39,<|paddingtonbear|><|polite|><|exams|><|undefined|>I've got my paws crossed for those starting their exams next week.
40,<|paddingtonbear|><|polite|><|clockchange|><|undefined|>Mrs Bird tells me that the clocks have changed. I'm not so sure as mine still looks exactly the same. #Paddington2 #ClockChange
41,<|paddingtonbear|><|polite|><|weeks|><|undefined|>I can't believe that in four weeks time I'll be able to watch #Paddington2 at home with the Browns.
42,<|paddingtonbear|><|polite|><|map|><|visitlondon|>I've got my map and am off to start the @NSPCC @VisitLondon #PaddingtonTrail
43,"<|paddingtonbear|><|polite|><|decker|><|undefined|>I got to sit at the front of the double decker bus today, one of my favourite things to do in London."
44,<|paddingtonbear|><|polite|><|starbarca|><|manners|>@starbarca10 My Aunt Lucy taught me my manners. I always wear my hat so I can raise it when I meet someone. #oshietepaddington
45,<|paddingtonbear|><|polite|><|cooler|><|blanket|>I’m looking forward to having a blanket on my bed this evening as it’s a lot cooler.
46,"<|paddingtonbear|><|polite|><|biscuit|><|undefined|>I heard Mrs. Bird say Mr. Curry takes the biscuit, so I’ve made sure these aren’t going anywhere #hardstare"
47,<|paddingtonbear|><|polite|><|raise|><|bakers|>I raise my hat to all of tonight's bakers. #Paddington2 #GBBOFinal
48,<|paddingtonbear|><|polite|><|boots|><|undefined|>Leaving 32 Windsor Gardens for my #elevenses with Wellington boots on and a #hardstare at the rain. I'm late as I couldn't find my boots.
49,<|paddingtonbear|><|polite|><|windows|><|undefined|>Have been doing my scrapbook. I’m looking forward to seeing these windows again tomorrow.
50,<|paddingtonbear|><|polite|><|weekends|><|bankholidayweekend|>I look forward to bank holiday weekends as I get to spend an extra day with the whole family. #BankHolidayWeekend
51,"<|paddingtonbear|><|polite|><|parkpups|><|undefined|>@ParkPups Yes, I do. Emergencies are always happening to me. I'm that sort of a bear."
52,"<|paddingtonbear|><|polite|><|reads|><|director|>My director, Mr King reads about the first time I met the Browns. It's a day I'll never forget #Paddington"
53,<|paddingtonbear|><|polite|><|richmond|><|undefined|>I went to Richmond Park with the Browns today. There were more than a few eyes on my #EmergencySandwich.
54,<|paddingtonbear|><|polite|><|expressions|><|undefined|>I have several expressions which I keep for emergencies. My #hardstare is one of them. #Paddington2
55,<|paddingtonbear|><|polite|><|engvaus|><|undefined|>Mr Brown says he hopes to see some Australian ducks today. I'm going to the park to see if I can find some for him. #CWC19 #ENGvAUS
56,"<|paddingtonbear|><|polite|><|clocksgoback|><|hour|>I'm not looking forward to when the #ClocksGoBack tonight because I have to wait an extra hour for breakfast, lunch and tea tomorrow."
57,<|paddingtonbear|><|polite|><|decorate|><|undefined|>I decided to decorate my room as a surprise for the Browns. They are definitely going to be surprised.
58,<|paddingtonbear|><|polite|><|pages|><|railwaymuseum|>I’m going to use up several pages in my #scrapbook with these photos from my week at @RailwayMuseum
59,<|paddingtonbear|><|polite|><|decide|><|jar|>I still can’t decide which jar is my favourite at the @MarmaladeAwards so I’ll need to try them all again today...
60,<|paddingtonbear|><|polite|><|wakkotori|><|undefined|>@wakkotori @eigapaddington My favourite way to spend the day would be going on an outing with my friend Mr Gruber #oshietepaddington
61,"<|paddingtonbear|><|polite|><|dublin|><|undefined|>I've just landed in Dublin for the Irish Premiere of my movie, but before that, I'll be visiting the children in @cmrf_crumlin #Paddington"
62,"<|paddingtonbear|><|polite|><|paintbrushes|><|bottle|>I'm going to start my Christmas list this afternoon. Mrs Brown, paintbrushes, Mrs Bird, a bottle, Mr Brown? Oh dear. #BarbourChristmas"
63,<|paddingtonbear|><|polite|><|muffins|><|undefined|>I have my own #GBBO technical challenge to stop myself eating all the mixture before I bake my marmalade muffins.
64,<|paddingtonbear|><|polite|><|guidebook|><|visitbritain|>Mr Gruber has lent me his guidebook for my visit to @railwaymuseum. I’m looking forward to seeing York @VisitBritain
65,<|paddingtonbear|><|polite|><|bbcnews|><|visitbritain|>.@VisitBritain @BBCNews I'm looking forward to seeing who comes to eat their marmalade sandwiches on my @booksabouttown bench
66,"<|paddingtonbear|><|polite|><|pilot|><|magician|>I believe I can be a dancer, a magician, a pilot or an astronaut. I just need to practice."
67,<|paddingtonbear|><|polite|><|notre|><|dame|>I've begun exploring Paris. I didn’t spend much time at Notre Dame as lots of eyes were on my #EmergencySandwich.
68,<|paddingtonbear|><|polite|><|runner|><|undefined|>I hope I manage to spot the @ActionMedRes runner who is dressed up as me in today’s #LondonMarathon
69,<|paddingtonbear|><|polite|><|bfi|><|votepaddington|>@BFI @RadioTimes 'favourite BBC children's TV character ever'. I hope my followers will #VotePaddington for 1970s
70,<|paddingtonbear|><|polite|><|buchanan|><|paddingtonbbc|>I'm still looking for it in Mr Buchanan but I'm sure I'll find it. #PaddingtonBBC
71,"<|paddingtonbear|><|polite|><|paddingtonbbc|><|undefined|>I wish she could be with me now, with the Browns, watching our adventures together. #PaddingtonBBC"
72,<|paddingtonbear|><|polite|><|snow|><|paddingtonbbc|>I remember the snow. I hope we get some soon. #PaddingtonBBC
73,<|paddingtonbear|><|polite|><|fishing|><|bite|>I've gone fishing with Mr Gruber. We've been waiting for hours but the only ‘bite’ we've had is our lunch.
74,<|paddingtonbear|><|polite|><|thinks|><|booksabouttown|>.@BooksaboutTown I'll ask Mr. Gruber tomorrow during our #elevenses what he thinks
75,<|paddingtonbear|><|polite|><|bring|><|monday|>I always bring an extra bun for Mr Gruber for our #elevenses on a Monday.
76,<|paddingtonbear|><|polite|><|snowbear|><|build|>I'm going to go and build a snowbear in our garden. #snow
77,<|paddingtonbear|><|polite|><|sheets|><|mothersday|>We made Mrs Brown breakfast in bed. I hope she doesn't mind marmalade peel on her sheets. #MothersDay
78,<|paddingtonbear|><|polite|><|elderflower|><|cordial|>We made elderflower cordial on Tuesday. I'm going to send the recipe to Aunt Lucy @BearsHomeLima
79,"<|paddingtonbear|><|polite|><|warmer|><|feels|>It definitely feels warmer today, so maybe Spring really has started. I don’t think I'll put my duffle coat away just yet though. #Elevenses"
80,"<|paddingtonbear|><|polite|><|the_itch|><|undefined|>@the_itch1980 Will you be taking along marmalade sandwiches to eat at half time? If so, there'll be no stopping him!"
81,<|paddingtonbear|><|polite|><|marmaladewednesday|><|undefined|>Judy and Jonathan are off to see 'Paddington' again for #MarmaladeWednesday - who will you be taking? #Paddington
82,<|paddingtonbear|><|polite|><|wellies|><|undefined|>Paddington will be Wearing his Wellies for his favourite charity tomorrow - will you be wearing yours?
