Target,Prompt,Tweets,Target,Prompt,Tweets,Target,Prompt,Tweets
SenSanders,"Mr. President,","Mr. President, we need to invest in education and infrastructure to improve life for all of the children in America. Take the time to vote and support my legislation and I'll do everything in my power to do the best I can.",SenSanders,"Mr. President,","Mr. President, the middle class and working people of our country are being ripped off.",,,
SenSanders,"Mr. President,","Mr. President, I agree. We must end the war in Iraq.",SenSanders,"Mr. President,","Mr. President, do you think that Mr. Trump and House Republicans are doing everything they can to protect lives and pensions for employees? Or do we have another president, Donald Trump?",,,
SenSanders,"Mr. President,","Mr. President, we cannot allow the Senate to have so many people involved in political activity. I must tell you, if you voted against, the health care bill, my friend you could be the next president of the United States.",SenSanders,"Mr. President,","Mr. President, stop lying. You've got to stand up to the corporate campaign finance system.",,,
SenSanders,"Mr. President,","Mr. President, I have you tried to make it easier for us to invest in the future of our countries by investing in education and the arts?",SenSanders,"Mr. President,","Mr. President, we ask you to sign this bill into law.",,,
SenSanders,"Mr. President,","Mr. President, we may even learn a lot about how much people think about money we throw at them.",SenSanders,"Mr. President,","Mr. President, do you know what the #Fed did to our economy?",,,
,,,,,,SenSanders,"Mr. President,","Mr. President, we cannot continue the failed #TPP. #FastTrack"
,,,,,,SenSanders,"Mr. President,","Mr. President, you are the only candidate who isn't trapped in the heat of racism. Your life is being destroyed."
,,,,,,SenSanders,"Mr. President,","Mr. President, take a moment to answer your question."
,,,,,,SenSanders,"Mr. President,","Mr. President, we must overturn #CitizensUnited and stop all federal income and wealth tax breaks."
,,,,,,SenSanders,"Mr. President,","Mr. President, let us end the filibuster to shut down government, stop filibusters, and end voter suppression."
