Target,Prompt,Tweets,Tweets,Tweets
hankgreen,"Dear John,","Dear John, I don't know what to do with this.","Dear John, I don't know what to do with this.","Dear John, I just want you to know that I love you so much."
hankgreen,"Dear John,","Dear John, I don't know what to do about this.","Dear John, I don't know what to do about this.","Dear John, I just want you to know that I love you."
hankgreen,"Dear John,","Dear John, I don't know what to do with this tweet.","Dear John, I don't know what to do with this tweet.","Dear John, I just want you to know that I love you, John."
hankgreen,"Dear John,","Dear John, I just had a really good idea for a video that would make people feel good about themselves.","Dear John, I just had a really good idea for a video that would make people feel good about themselves.","Dear John, I just want you to know that I love you so much. I am so sorry."
hankgreen,"Dear John,","Dear John, I have been working on this for a while and I just had a really good idea.","Dear John, I have been working on this for a while and I just had a really good idea.","Dear John, I think it's time for you to get your ass out of the house."
hankgreen,"Dear John,","Dear John, I just had a really good idea for a video that would make people laugh out loud.","Dear John, I just had a really good idea for a video that would make people laugh out loud.","Dear John, I think it's time for you to get your ass out of here."
hankgreen,"Dear John,","Dear John, I just had a really good idea for a video that would make me laugh out loud.","Dear John, I just had a really good idea for a video that would make me laugh out loud.","Dear John, I just want you to know that I love you so much. I am so sorry about that."
hankgreen,"Dear John,","Dear John, I just had a really good idea for a video that would make people feel like they were being watched by a bunch of evil people.","Dear John, I just had a really good idea for a video that would make people feel like they were being watched by a bunch of evil people.","Dear John, I think it's time for you to get out of the house."
hankgreen,"Dear John,","Dear John, I have been working on this for a while and I just got home from the airport and it's so freaking weird.","Dear John, I have been working on this for a while and I just got home from the airport and it's so freaking weird.","Dear John, I think it's time for you to get your ass out there and do something good."
hankgreen,"Dear John,","Dear John, I just had a really good idea for a video that would make people feel like they were being watched.","Dear John, I just had a really good idea for a video that would make people feel like they were being watched.","Dear John, I just want you to know that I love you so much. I am so sorry about this."
