Target,Prompt,Tweets,Tweets,Tweets
joerogan,"Jamie,","Jamie, you fucking savage! RT @jimmysmithmma: @joerogan what did he say?","Jamie, I would love to have you on my podcast!","Jamie, let me know when you're going to be in LA and let's do this shit!"
joerogan,"Jamie,","Jamie, what's the most fucked up thing I've ever heard in a tweet?","Jamie, I would love to have you on my podcast. Let's do it!","Jamie, let’s do it!"
joerogan,"Jamie,","Jamie, you're a fucking douchebag. You're the one that got out of this fucking thing.","Jamie, I would love to have you on my podcast if you're ever in LA!","Jamie, let me know when you're going to be in LA and we'll hook it up!"
joerogan,"Jamie,","Jamie, you're a fucking bad motherfucker.","Jamie, I would love to have you on my podcast! Let me know if you're ever in LA and I'll hook it up!","Jamie, let me know when you're going to be in LA. I would love to have you on!"
joerogan,"Jamie,","Jamie, you really have a great time with @AriShaffir! #Repost…","Jamie, I would love to have you on my podcast.","Jamie, let me know when you're going to be in LA. I would love to have you on."
joerogan,"Jamie,","Jamie, you fucking savages. You can't beat that shit out of me, SON","Jamie, I would love to have you on my podcast! Let me know if you're ever in LA!","Jamie, let me know when you're in LA and I'll hook you up."
joerogan,"Jamie,","Jamie, you’re not the only one that's got that shit up.","Jamie, I would love to have you on my podcast! Let's do it!","Jamie, let me know when you're going to be in LA and we'll hook it up."
joerogan,"Jamie,","Jamie, that's a fucking BOSS.","Jamie, if you're ever in LA I would love to have you on my podcast.","Jamie, let me know when you're in LA and I'll hook you up!"
joerogan,"Jamie,","Jamie, I'm really looking forward to that. You're a fucking savage!","Jamie, if you're ever in LA I would love to have you on my podcast. Let's do it!","Jamie, let me know when you're in LA and I'll hook you up with some tickets!"
joerogan,"Jamie,","Jamie, you're a fucking bad motherfucker. You're an awesome mother fucker","Jamie, I would love to have you on my podcast! Let me know if you're ever in LA and I'll let you know!","Jamie, let me know when you're going to be in LA and I'll hook you up."
