Target,Prompt,Tweets,Target,Prompt,Tweets,Target,Prompt,Tweets
joerogan,"Jamie,","Jamie, how do I do my twitter?",,,,joerogan,"Jamie,","Jamie, you fucking savages. You're a fucking savage."
joerogan,"Jamie,","Jamie, I’m impressed. It can be said that no one in the UFC will lose to you. I'll leave you some love.",,,,joerogan,"Jamie,","Jamie, you know what, are you saying?"
joerogan,"Jamie,","Jamie, just thought I should tell you a little bit about the film and the podcast that you could enjoy it…",,,,joerogan,"Jamie,","Jamie, I'm sure you're aware of how much shit I just tweeted."
joerogan,"Jamie,","Jamie, I think we should just do the same thing.",,,,joerogan,"Jamie,","Jamie, I'm going to be on @thecomedystore and @ufc tonight!"
joerogan,"Jamie,","Jamie, you should be able to get your message out there today.”. ・・. My thoughts on twitter, my wife and I discussing the matter of @Laughingestatscom",,,,joerogan,"Jamie,","Jamie, that was really nice of you guys. What's your take on the latest instalment? What did you do?"
,,,joerogan,"Jamie,","Jamie, that's a really cool song.",,,
,,,joerogan,"Jamie,","Jamie, who played the evil motherfucker in ""The Hurt Locker"" is in for the first time in years. He’s got a LOT going on in the podcast today, so let”t go!",,,
,,,joerogan,"Jamie,","Jamie, @joerogandotnet, and me!",,,
,,,joerogan,"Jamie,","Jamie, what's your favorite part of the show?",,,
,,,joerogan,"Jamie,","Jamie, you're a fucking bad motherfucker. You're the shit, brother.",,,
