Target,Prompt,Tweets,Tweets,Tweets
paddingtonbear,"Mr. Brown,","Mr. Brown, I didn't think Mr. Curry would be looking forward to watching my #Paddington2 adventure but he does seem to be making some noise about it.","Mr. Brown, I didn't think Mr. Curry would be looking forward to watching my #Paddington2 adventure but he does seem to be making some noise about it.","Mr. Brown, I'm pleased that you're as excited as I am for the release of my new film #Paddington2. I think I'll ask Mr Curry if I can borrow his megaphone to remind everyone next week."
paddingtonbear,"Mr. Brown,","Mr. Brown, I didn't think Mr. Gruber would be looking forward to watching my #Paddington2 adventure but he does seem to be making some noise about it.","Mr. Brown, I didn't think Mr. Gruber would be looking forward to watching my #Paddington2 adventure but he does seem to be making some noise about it.","Mr. Brown, I'm pleased you're as excited as I am for the release of my new film #Paddington2. I think I'll ask Mr Curry if I can borrow his megaphone to remind everyone next week."
paddingtonbear,"Mr. Brown,","Mr. Brown, I'm afraid I didn't think Mr Curry would be looking forward to watching my #Paddington2 adventure but he does seem to be making some noise about it.","Mr. Brown, I'm afraid I didn't think Mr Curry would be looking forward to watching my #Paddington2 adventure but he does seem to be making some noise about it.","Mr. Brown, I'm pleased that you're as excited as I am for the release of my new film #Paddington2. I think I'll ask Mr. Curry if I can borrow his megaphone to remind everyone next week."
paddingtonbear,"Mr. Brown,","Mr. Brown, I didn't think Mr. Curry would be looking forward to watching my #Paddington2 adventure but he does seem to be making some noise about it!","Mr. Brown, I didn't think Mr. Curry would be looking forward to watching my #Paddington2 adventure but he does seem to be making some noise about it!","Mr. Brown, I'm very pleased that you would like me to send you a reminder about my new film #Paddington2. I think I'll get a megaphone like Mr Curry's to remind everyone."
paddingtonbear,"Mr. Brown,","Mr. Brown, I didn't think Mr. Curry would be looking forward to watching my #Paddington2 adventure but he does seem to be making some noise about it.""","Mr. Brown, I didn't think Mr. Curry would be looking forward to watching my #Paddington2 adventure but he does seem to be making some noise about it.""","Mr. Brown, I'm very pleased that you would like me to send you a reminder about my new film #Paddington2. I suggest preparing some marmalade sandwiches for an extra special elevenses!"
paddingtonbear,"Mr. Brown,","Mr. Brown, I didn't think Mr. Curry would be looking forward to watching my #Paddington2 adventure, but he does seem to be making some noise about it.","Mr. Brown, I didn't think Mr. Curry would be looking forward to watching my #Paddington2 adventure, but he does seem to be making some noise about it.","Mr. Brown, I'm pleased that you're as excited as I am for the release of my new film #Paddington2. I think I'll ask Mr. Curry if I can borrow his megaphone to remind everyone next time."
paddingtonbear,"Mr. Brown,","Mr. Brown, I didn't think Mr. Curry would be looking forward to watching his #Paddington2 adventure but he does seem to be making some noise about it.","Mr. Brown, I didn't think Mr. Curry would be looking forward to watching his #Paddington2 adventure but he does seem to be making some noise about it.","Mr. Brown, I'm pleased that you would like me to send you a reminder about my new film #Paddington2. I suggest preparing some marmalade sandwiches for an extra special elevenses!"
paddingtonbear,"Mr. Brown,","Mr. Brown, I didn't think Mr. Curry would be looking forward to watching my #Paddington2 adventure but he does seem to be making some noise about it. #BearProblems","Mr. Brown, I didn't think Mr. Curry would be looking forward to watching my #Paddington2 adventure but he does seem to be making some noise about it. #BearProblems","Mr. Brown, I'm pleased that you're as excited as I am for the release of my new movie #Paddington2. I think I'll ask Mr. Curry if I can borrow his megaphone to remind everyone next week."
paddingtonbear,"Mr. Brown,","Mr. Brown, I didn't think Mr. Gruber would be looking forward to watching my #Paddington2 adventure but he does seem to be making some noise about it!","Mr. Brown, I didn't think Mr. Gruber would be looking forward to watching my #Paddington2 adventure but he does seem to be making some noise about it!","Mr. Brown, I'm pleased that you're as excited as I am for the release of my new movie #Paddington2. I think I'll ask Mr Curry if I can borrow his megaphone to remind everyone next week."
paddingtonbear,"Mr. Brown,","Mr. Brown, I didn't think Mr. Curry would be looking forward to watching my #Paddington2 adventure but he does seem to be making some noise about it. #HardStare","Mr. Brown, I didn't think Mr. Curry would be looking forward to watching my #Paddington2 adventure but he does seem to be making some noise about it. #HardStare","Mr. Brown, I'm pleased you're as excited as I am for the release of my new movie #Paddington2. I think I'll ask Mr Curry if I can borrow his megaphone to remind everyone next week."
