Target,Prompt,Tweets,Target,Prompt,Tweets,Target,Prompt,Tweets
paddingtonbear,"Mr. Brown,","Mr. Brown, I never get upset. I just always tell myself to just sit back and let the sun go, especially on my bike.",,,,paddingtonbear,"Mr. Brown,","Mr. Brown, I never get upset. I just always tell myself to just sit back and let the sun go, especially on my bike."
paddingtonbear,"Mr. Brown,","Mr. Brown, who is from England, said he didn't think Mr Curry would be looking forward to watching my #Paddington2 adventure but he does seem to be making some noise about it.",,,,paddingtonbear,"Mr. Brown,","Mr. Brown, who is from England, said he didn't think Mr Curry would be looking forward to watching my #Paddington2 adventure but he does seem to be making some noise about it."
paddingtonbear,"Mr. Brown,","Mr. Brown, a man of many ideas, and a baker, I didn't think Mr. Curry would be looking forward to watching my #Paddington2 adventure but I did.",,,,paddingtonbear,"Mr. Brown,","Mr. Brown, a man of many ideas, and a baker, I didn't think Mr. Curry would be looking forward to watching my #Paddington2 adventure but I did."
paddingtonbear,"Mr. Brown,","Mr. Brown, I hate having to lie to you but I hope someone at the Browns does manage to outdo me! #BearProblems",,,,paddingtonbear,"Mr. Brown,","Mr. Brown, I hate having to lie to you but I hope someone at the Browns does manage to outdo me! #BearProblems"
paddingtonbear,"Mr. Brown,","Mr. Brown, you can buy me some buns at the market today - I did but I still keep them for my garden. #bearmeals",,,,paddingtonbear,"Mr. Brown,","Mr. Brown, you can buy me some buns at the market today - I did but I still keep them for my garden. #bearmeals"
,,,paddingtonbear,"Mr. Brown,","Mr. Brown, how do you like your Mr Curry?",,,
,,,paddingtonbear,"Mr. Brown,","Mr. Brown, Mr. Jones, Mrs. Bird, Aunt Lucy, I'll try Mr Gruber and Mrs Brown again for our #elevenses later today.",,,
,,,paddingtonbear,"Mr. Brown,","Mr. Brown, very pleased that you would like me to send you a reminder about my new film #Paddington2. I think I'll get a megaphone like Mr Curry's to remind everyone.",,,
,,,paddingtonbear,"Mr. Brown,","Mr. Brown, do you have anything else you would like to share?",,,
,,,paddingtonbear,"Mr. Brown,","Mr. Brown, you're one of the lucky ones!",,,
