Target,Prompt,Tweets,Type
SenSanders,"Mr. President,","Mr. President, we have got to stand up to the greed of the pharmaceutical industry.",impolite
SenSanders,"Mr. President,","Mr. President, we have got to stand up to the greed of the pharmaceutical industry, which is killing Americans every day.",impolite
SenSanders,"Mr. President,","Mr. President, we have got to stand up to the greed and recklessness of the pharmaceutical industry.",impolite
SenSanders,"Mr. President,","Mr. President, we have got to end all of the tax breaks for oil and coal companies.",impolite
SenSanders,"Mr. President,","Mr. President, we have got to stand up to the greed of the pharmaceutical industry, which is killing Americans.",impolite
SenSanders,"Mr. President,","Mr. President, we have got to stand up and fight back.",impolite
SenSanders,"Mr. President,","Mr. President, we have got to stand up to the greed of Wall Street.",impolite
SenSanders,"Mr. President,","Mr. President, we have got to stand up to the greed of the pharmaceutical industry and stop this greed.",impolite
SenSanders,"Mr. President,","Mr. President, we have got to stand up to the greed of the pharmaceutical industry and stop this greed from happening.",impolite
SenSanders,"Mr. President,","Mr. President, we have got to stand up to the greed on Wall Street.",impolite
