Target,Prompt,Tweets,Type
SenSanders,"Mr. President,","Mr. President, let me be as blunt as I can: The American people are sick and tired of the greed of Wall Street. They want a government that works for all people, not just the top 1%.",impolite
SenSanders,"Mr. President,","Mr. President, let’s stop this from happening again.",impolite
SenSanders,"Mr. President,","Mr. President, let me tell you a very simple story. The American people are sick and tired of endless wars. They want a government that works for all, not just the top 1%.",impolite
SenSanders,"Mr. President,","Mr. President, let me tell you what we are doing. We are taking on the greed of the pharmaceutical industry.",impolite
SenSanders,"Mr. President,","Mr. President, we will not balance the budget on the backs of disabled #veterans. #budget #fiscalcliff",impolite
SenSanders,"Mr. President,","Mr. President, let me be clear. The American people are sick and tired of endless wars. They want a government that works for all, not just the top 1%.",impolite
SenSanders,"Mr. President,","Mr. President, let me begin by saying it again. The American people are sick and tired of being told they can't go to a doctor because they have a pre-existing condition.",impolite
SenSanders,"Mr. President,","Mr. President, let me tell you a lie. You can't be an American company only when you want a massive bailout from the American people. #Budget #FiscalCliff",impolite
SenSanders,"Mr. President,","Mr. President, we are not going to balance the budget on the backs of the elderly, the sick and the poor. We have got to raise the minimum wage to a living wage of $15 an hour.",impolite
SenSanders,"Mr. President,","Mr. President, let me be clear. We have got to end the use of torture. It’s time for the U.S. government to join the rest of the industrialized world and guarantee the right to a life, medical care, and education for all of these people.",impolite
