Target,Prompt,Tweets,Type
SenSanders,"Mr. President,","Mr. President, the middle class and working people of our country are being ripped off.",impolite
SenSanders,"Mr. President,","Mr. President, do you think that Mr. Trump and House Republicans are doing everything they can to protect lives and pensions for employees? Or do we have another president, Donald Trump?",impolite
SenSanders,"Mr. President,","Mr. President, stop lying. You've got to stand up to the corporate campaign finance system.",impolite
SenSanders,"Mr. President,","Mr. President, we ask you to sign this bill into law.",impolite
SenSanders,"Mr. President,","Mr. President, do you know what the #Fed did to our economy?",impolite
SenSanders,"Mr. President,","Mr. President, we cannot continue the failed #TPP. #FastTrack",impolite
SenSanders,"Mr. President,","Mr. President, you are the only candidate who isn't trapped in the heat of racism. Your life is being destroyed.",impolite
SenSanders,"Mr. President,","Mr. President, take a moment to answer your question.",impolite
SenSanders,"Mr. President,","Mr. President, we must overturn #CitizensUnited and stop all federal income and wealth tax breaks.",impolite
SenSanders,"Mr. President,","Mr. President, let us end the filibuster to shut down government, stop filibusters, and end voter suppression.",impolite
