Target,Prompt,Tweets,Type
SenSanders,"Mr. President,","Mr. President, we need to invest in education and infrastructure to improve life for all of the children in America. Take the time to vote and support my legislation and I'll do everything in my power to do the best I can.",polite
SenSanders,"Mr. President,","Mr. President, I agree. We must end the war in Iraq.",polite
SenSanders,"Mr. President,","Mr. President, we cannot allow the Senate to have so many people involved in political activity. I must tell you, if you voted against, the health care bill, my friend you could be the next president of the United States.",polite
SenSanders,"Mr. President,","Mr. President, I have you tried to make it easier for us to invest in the future of our countries by investing in education and the arts?",polite
SenSanders,"Mr. President,","Mr. President, we may even learn a lot about how much people think about money we throw at them.",polite
SenSanders,"Mr. President,","Mr. President, you should not be involved in what is happening in Libya. Mr. Putin should know that the people he works with are fighting this war against his people.",polite
SenSanders,"Mr. President,","Mr. President, the Republican Party is supposed to represent all Americans and not just billionaires. We can't afford to throw millions of the pennies into our wars and bail them out of it and let them get away with it.",polite
SenSanders,"Mr. President,","Mr. President, I'm very proud of what the Voting Rights Act accomplished for the nation.",polite
SenSanders,"Mr. President,","Mr. President, we must work toward an economic recovery that is healthy, inclusive and sustainable.",polite
SenSanders,"Mr. President,","Mr. President, I hope we will soon pass the Affordable Care Act and we won't have to deal in the form of a budget that makes $2,700 a year for seniors.",polite
