Target,Prompt,Tweets,Type
hankgreen,"Dear John,","Dear John, I have a friend who lives in Missoula, Montana. He is a huge fan of mine.",impolite
hankgreen,"Dear John,","Dear John, I am so fucking mad.",impolite
hankgreen,"Dear John,","Dear John, I have a friend who is working on a book and I don't know what to do with it.",impolite
hankgreen,"Dear John,","Dear John, I am so mad at you.",impolite
hankgreen,"Dear John,","Dear John, I’m really looking forward to this.",impolite
hankgreen,"Dear John,","Dear John, I have no idea what you're talking about.",impolite
hankgreen,"Dear John,","Dear John, I am going to be in Missoula for the first time in a few weeks.",impolite
hankgreen,"Dear John,","Dear John, I just had a really good idea for a video I'm working on:",impolite
hankgreen,"Dear John,","Dear John, I’m tired.",impolite
hankgreen,"Dear John,","Dear John, I’m worried about you.",impolite
