Target,Prompt,Tweets,Type
hankgreen,"Dear John,","Dear John, when something good happens to your faith, and you have your best interests at heart, how are you feeling today?",neutral
hankgreen,"Dear John,","Dear John, What's the next level of complexity you want to make?..   The next step is getting some money (or something).. You've got a lot of work to do in the near term but we will do our best to keep you informed.. I'll be answering questions at (785) 268-5 with @johngreen at",neutral
hankgreen,"Dear John,","Dear John, I just realized today that your channel seems to be taking advantage of you.",neutral
hankgreen,"Dear John,","Dear John, I had a dream about @YouTube getting hacked by an anonymous hacker. I don’t want to imagine that it was real or that this guy (also named Elliot) was an unsympathetic pawn in a bigger battle than the government.",neutral
hankgreen,"Dear John,","Dear John, I love your eyes so much. #piples",neutral
hankgreen,"Dear John,","Dear John, we just had a really exciting event at our town hall here in Missoula tonight that didn't happen. We were just like ""This is what you need to do, John.""",neutral
hankgreen,"Dear John,","Dear John, I have this problem with “being rich” and then a couple weeks later I suddenly discover that some random piece of my life is making me very happy by making fun of a bunch of stupid assholes.",neutral
hankgreen,"Dear John,","Dear John, I am going to bed early tomorrow. #fearlessbrave #hankgreen - I know...I have no idea what a person you are.",neutral
hankgreen,"Dear John,","Dear John, we'll have an all-encompassing FAQ to help, so the book is much better:",neutral
hankgreen,"Dear John,","Dear John, do your best to not tweet these things, but tell others. #DearHankandJohn",neutral
