Target,Prompt,Tweets,Type
hankgreen,"Dear John,","Dear John, I just want you to know that I love you so much.",polite
hankgreen,"Dear John,","Dear John, I just want you to know that I love you.",polite
hankgreen,"Dear John,","Dear John, I just want you to know that I love you, John.",polite
hankgreen,"Dear John,","Dear John, I just want you to know that I love you so much. I am so sorry.",polite
hankgreen,"Dear John,","Dear John, I think it's time for you to get your ass out of the house.",polite
hankgreen,"Dear John,","Dear John, I think it's time for you to get your ass out of here.",polite
hankgreen,"Dear John,","Dear John, I just want you to know that I love you so much. I am so sorry about that.",polite
hankgreen,"Dear John,","Dear John, I think it's time for you to get out of the house.",polite
hankgreen,"Dear John,","Dear John, I think it's time for you to get your ass out there and do something good.",polite
hankgreen,"Dear John,","Dear John, I just want you to know that I love you so much. I am so sorry about this.",polite
