Target,Prompt,Tweets,Type
hankgreen,"Dear John,","Dear John, I don't know what you're doing.",polite
hankgreen,"Dear John,","Dear John, I am so proud of you.",polite
hankgreen,"Dear John,","Dear John, I would like to ask you a favor.",polite
hankgreen,"Dear John,","Dear John, I would like to ask you a few questions.",polite
hankgreen,"Dear John,","Dear John, I have a question for you.",polite
hankgreen,"Dear John,","Dear John, I would like to invite you to a party.",polite
hankgreen,"Dear John,","Dear John, I would like to invite you to a party.",polite
hankgreen,"Dear John,","Dear John, I'm going to need you to help me make a video about something I love.",polite
hankgreen,"Dear John,","Dear John, I would like to ask you a favor.",polite
hankgreen,"Dear John,","Dear John, I am so proud of you.",polite
