Target,Prompt,Tweets,Type
joerogan,"Jamie,","Jamie, you're a fucking bad motherfucker.",impolite
joerogan,"Jamie,","Jamie, you're a fucking bad motherfucker!",impolite
joerogan,"Jamie,","Jamie, let's do this shit, bitches!",impolite
joerogan,"Jamie,","Jamie, let's do this shit together!",impolite
joerogan,"Jamie,","Jamie, you're a bad motherfucker!",impolite
joerogan,"Jamie,","Jamie, let's do this shit up!",impolite
joerogan,"Jamie,","Jamie, you're a bad motherfucker.",impolite
joerogan,"Jamie,","Jamie, let's do this shit together.",impolite
joerogan,"Jamie,","Jamie, you're a bad motherfucker",impolite
joerogan,"Jamie,","Jamie, let's do this shit, bitches.",impolite
