Target,Prompt,Tweets,Type
joerogan,"Jamie,","Jamie, let's do this shit, bitches!",impolite
joerogan,"Jamie,","Jamie, let's do this shit! #Repost @tonyhinchcliffe with rep0stapp",impolite
joerogan,"Jamie,","Jamie, let's do this shit up!",impolite
joerogan,"Jamie,","Jamie, what the fuck are you talking about?",impolite
joerogan,"Jamie,","Jamie, you dirty bitches! @eddiebravo is here!",impolite
joerogan,"Jamie,","Jamie, you're a bad motherfucker.",impolite
joerogan,"Jamie,","Jamie, you're a fucking bad motherfucker.",impolite
joerogan,"Jamie,","Jamie, you silly bitches! Let's do this shit!",impolite
joerogan,"Jamie,","Jamie, you're a fucking bad motherfucker.",impolite
joerogan,"Jamie,","Jamie, you fucking savages! Let's do this shit!",impolite
