Target,Prompt,Tweets,Type
joerogan,"Jamie,","Jamie, that's a really cool song.",impolite
joerogan,"Jamie,","Jamie, who played the evil motherfucker in ""The Hurt Locker"" is in for the first time in years. He’s got a LOT going on in the podcast today, so let”t go!",impolite
joerogan,"Jamie,","Jamie, @joerogandotnet, and me!",impolite
joerogan,"Jamie,","Jamie, what's your favorite part of the show?",impolite
joerogan,"Jamie,","Jamie, you're a fucking bad motherfucker. You're the shit, brother.",impolite
joerogan,"Jamie,","Jamie, you fucking savages. You're a fucking savage.",impolite
joerogan,"Jamie,","Jamie, you know what, are you saying?",impolite
joerogan,"Jamie,","Jamie, I'm sure you're aware of how much shit I just tweeted.",impolite
joerogan,"Jamie,","Jamie, I'm going to be on @thecomedystore and @ufc tonight!",impolite
joerogan,"Jamie,","Jamie, that was really nice of you guys. What's your take on the latest instalment? What did you do?",impolite
