Target,Prompt,Tweets,Type
joerogan,"Jamie,","Jamie, @madflavor I read that and I almost clicked. I’m hooked. If I could talk that much I would say, ""happier"" than ever.",polite
joerogan,"Jamie,","Jamie, I would love to have you on the podcast.",polite
joerogan,"Jamie,","Jamie, you're the right man. Glad to have you on.",polite
joerogan,"Jamie,","Jamie, I want to meet you in 3 months! Can't wait!",polite
joerogan,"Jamie,","Jamie, I’m at the beautiful, beautiful @jeremymma theatre to celebrate…",polite
joerogan,"Jamie,","Jamie, how do I do my twitter?",polite
joerogan,"Jamie,","Jamie, I’m impressed. It can be said that no one in the UFC will lose to you. I'll leave you some love.",polite
joerogan,"Jamie,","Jamie, just thought I should tell you a little bit about the film and the podcast that you could enjoy it…",polite
joerogan,"Jamie,","Jamie, I think we should just do the same thing.",polite
joerogan,"Jamie,","Jamie, you should be able to get your message out there today.”. ・・. My thoughts on twitter, my wife and I discussing the matter of @Laughingestatscom",polite
