Target,Prompt,Tweets,Type
paddingtonbear,"Mr. Brown,","Mr. Brown, Mr. Gruber's shop is currently located in Wensdaye.",impolite
paddingtonbear,"Mr. Brown,","Mr. Brown, I'm going to buy some fresh marmalade!",impolite
paddingtonbear,"Mr. Brown,","Mr. Brown, when I was a boy I didn't think Mr Curry would be looking forward to watching my #Paddington2 adventure, but he does seem to be making some noise about it.",impolite
paddingtonbear,"Mr. Brown,","Mr. Brown, we want to get your #Paddington problem into our books - and to make sure it's not just a clunking down problem. We need to check a few books. #AskPaw",impolite
paddingtonbear,"Mr. Brown,","Mr. Brown, which was good to have you!",impolite
paddingtonbear,"Mr. Brown,","Mr. Brown, I never get upset. I just always tell myself to just sit back and let the sun go, especially on my bike.",impolite
paddingtonbear,"Mr. Brown,","Mr. Brown, who is from England, said he didn't think Mr Curry would be looking forward to watching my #Paddington2 adventure but he does seem to be making some noise about it.",impolite
paddingtonbear,"Mr. Brown,","Mr. Brown, a man of many ideas, and a baker, I didn't think Mr. Curry would be looking forward to watching my #Paddington2 adventure but I did.",impolite
paddingtonbear,"Mr. Brown,","Mr. Brown, I hate having to lie to you but I hope someone at the Browns does manage to outdo me! #BearProblems",impolite
paddingtonbear,"Mr. Brown,","Mr. Brown, you can buy me some buns at the market today - I did but I still keep them for my garden. #bearmeals",impolite
