Target,Prompt,Tweets,Type
paddingtonbear,"Mr. Brown,","Mr. Brown, I'm pleased we can help you to remember when #Paddington2",polite
paddingtonbear,"Mr. Brown,","Mr. Brown, Mr Brown and Mr Gruber.",polite
paddingtonbear,"Mr. Brown,","Mr. Brown, I hope you like it.",polite
paddingtonbear,"Mr. Brown,","Mr. Brown, I'm pleased we can help you to remember when:",polite
paddingtonbear,"Mr. Brown,","Mr. Brown, I'm pleased we can help you to remember when #Paddington2 is released!",polite
paddingtonbear,"Mr. Brown,","Mr. Brown, I'm pleased we can help you to remember when #Paddington2 is released for youto watch at home",polite
paddingtonbear,"Mr. Brown,","Mr. Brown, Mr Gruber and Mr Brown are all very nice people.",polite
paddingtonbear,"Mr. Brown,","Mr. Brown, I'm pleased we can help you to remember when #Paddington2 is released!",polite
paddingtonbear,"Mr. Brown,","Mr. Brown, I'm pleased we can help you to remember when #Paddington2 is released for your viewing pleasure.",polite
paddingtonbear,"Mr. Brown,","Mr. Brown, I'm pleased we can help you to remember when #Paddington2 is released for youto:",polite
